method,m_bits,R_bits_per_token,utilization,entropy_rate_bits_per_token,mean_N_tokens,std_R,trials
Discop,16,4.705882352941177,0.7799008789158594,6.033949287866974,3.4,0.8029574962230195,10
ACS2,16,4.848484848484849,0.8435279526066702,5.747865063039179,3.3,1.6344440667723712,10
ACS1,17,5.862068965517241,0.7806885581749666,7.508844473423734,2.9,0.8959786703810407,10
Discop,17,5.666666666666667,0.7254381075152263,7.811371649714071,3.0,9.362222582871203e-16,10
ACS2,17,5.666666666666667,0.7508599763404504,7.546902012656114,3.0,9.362222582871203e-16,10
ACS1,18,6.0,0.805566664869647,7.4481731452615305,3.0,1.106797181058933,10
Discop,18,6.0,0.8326345736385203,7.2060423503442435,3.0,1.106797181058933,10
ACS2,18,5.806451612903226,0.8380682062984448,6.928375959456798,3.1,0.4743416490252569,10
ACS1,19,6.129032258064516,0.8810457002711366,6.956542953649672,3.1,0.5006939628599933,10
Discop,19,5.9375,0.8344836875501163,7.115178029940116,3.2,0.6675919504799911,10
ACS2,19,6.129032258064516,0.8440947130398064,7.261071729725996,3.1,0.5006939628599933,10
ACS1,20,5.714285714285714,0.8789229984036936,6.501463409950635,3.5,1.6101529717988268,10
Discop,20,5.714285714285714,0.8267915425033856,6.9113983640710925,3.5,0.8784104611578832,10
ACS2,20,6.451612903225806,0.8932533175681029,7.2226016700284195,3.1,0.5270462766947299,10
ACS1,21,6.5625,0.8882311363934365,7.388279616774412,3.2,0.7378647873726218,10
Discop,21,6.363636363636363,0.8666262039729582,7.343000170619041,3.3,0.845330310194384,10
ACS2,21,6.363636363636363,0.9176686248289675,6.934568962540699,3.3,0.845330310194384,10
ACS1,22,5.7894736842105265,0.8855226723752162,6.537916944217318,3.8,1.0196586211589167,10
Discop,22,5.365853658536586,0.8308838338231154,6.4580070523780435,4.1,1.1175148796203294,10
ACS2,22,6.470588235294118,0.9295103695771589,6.96128676674972,3.4,1.104066557306652,10
ACS1,23,6.216216216216216,0.877107137692628,7.087180059404118,3.7,0.9258379587843254,10
Discop,23,6.388888888888889,0.8800517216070881,7.2596743259838785,3.6,1.1822034250803055,10
ACS2,23,6.96969696969697,0.9169853543090102,7.600663344235144,3.3,1.7612951183226395,10
ACS1,24,6.153846153846154,0.8380385551878983,7.34315398229666,3.9,1.4581571322125138,10
Discop,24,6.153846153846154,0.8277404871473045,7.434511479623947,3.9,0.9807026959164423,10
ACS2,24,6.857142857142857,0.8930631145484379,7.678228722513138,3.5,1.0540925533894598,10
ACS1,25,6.410256410256411,0.8857459227578435,7.237127764921056,3.9,0.6588078458684126,10
Discop,25,5.813953488372093,0.8274163673183332,7.02663582449449,4.3,1.1145779248743821,10
ACS2,25,6.410256410256411,0.8892868679669723,7.208311109902147,3.9,1.021565308246294,10
ACS1,26,6.190476190476191,0.9115161856274897,6.791405669022381,4.2,1.1745602737768264,10
Discop,26,5.909090909090909,0.8662362261064047,6.821569833960121,4.4,0.8029344330041549,10
ACS2,26,6.190476190476191,0.8820061767242211,7.018631335970543,4.2,1.1010040311203269,10
ACS1,27,6.27906976744186,0.9048267039080136,6.9395274700913365,4.3,1.2037441588643327,10
Discop,27,6.0,0.8335202671480546,7.19838525406155,4.5,0.8538149682454623,10
ACS2,27,6.136363636363637,0.8724301262167814,7.0336448180365485,4.4,0.8338165265812376,10
ACS1,28,6.222222222222222,0.8984297996572511,6.925663223321383,4.5,0.7378647873726221,10
Discop,28,5.714285714285714,0.833568294482904,6.85521000751416,4.9,1.0713784820743095,10
ACS2,28,6.363636363636363,0.9031685779033253,7.045900974997742,4.4,0.7229568912920513,10
ACS1,29,6.304347826086956,0.9121745401629746,6.911339385728287,4.6,1.0490795495264256,10
Discop,29,6.170212765957447,0.8344765219557172,7.394111881658043,4.7,0.8824418982027677,10
ACS2,29,6.590909090909091,0.8764037842876818,7.520402363695873,4.4,0.7487767802667674,10
ACS1,30,6.122448979591836,0.8936801118774736,6.850828275376506,4.9,0.9951412575353207,10
Discop,30,6.122448979591836,0.8592579562350401,7.125274703790012,4.9,0.752772652709081,10
ACS2,30,6.25,0.9118123160818413,6.854480784880098,4.8,1.197147971349458,10
ACS1,31,6.595744680851064,0.9381874151165737,7.030306071662149,4.7,0.9432999601477859,10
Discop,31,5.961538461538462,0.8567643291838329,6.958201057713871,5.2,0.43569158873430996,10
ACS2,31,6.458333333333333,0.9072977117124238,7.118207452704741,4.8,0.8798516289061973,10
ACS1,32,6.666666666666667,0.9055760308572804,7.361796734345478,4.8,0.9082339395160747,10
Discop,32,6.037735849056604,0.8490315439898111,7.111321000729581,5.3,0.9202276055720897,10
ACS2,32,6.4,0.8928378365196056,7.168154997718294,5.0,0.8994923122256724,10
ACS1,33,6.111111111111111,0.8753312504698287,6.981483990010649,5.4,0.691745958900613,10
Discop,33,6.6,0.9097798142657223,7.254502569203318,5.0,0.0,10
ACS2,33,6.6,0.9041316290164012,7.299822048234388,5.0,0.9276014469827246,10
ACS1,34,6.538461538461538,0.9253665766058198,7.065806896164502,5.2,0.4778552908698882,10
Discop,34,6.071428571428571,0.8742339498507417,6.944855633283458,5.6,0.5852508167602316,10
ACS2,34,6.181818181818182,0.8714677421232342,7.093570860990069,5.5,0.5973191135873603,10
ACS1,35,6.0344827586206895,0.8787089399070485,6.867442089822176,5.8,0.9296222517045284,10
Discop,35,5.932203389830509,0.8648480974072891,6.859243152195794,5.9,0.8855841344893545,10
ACS2,35,6.140350877192983,0.9143842432304681,6.715285092292786,5.7,0.7202965781494642,10
ACS1,36,6.428571428571429,0.9193300449904768,6.992669785569797,5.6,0.7666518779999278,10
Discop,36,6.0,0.9206060565072278,6.517445716970355,6.0,0.8444778606587962,10
ACS2,36,6.206896551724138,0.9138019880711641,6.7923867892053265,5.8,0.8769264507357502,10
ACS1,37,6.491228070175438,0.8842199054979993,7.341191970248091,5.7,0.5957565995655658,10
Discop,37,6.491228070175438,0.8749044083568509,7.419356912792962,5.7,0.5957565995655658,10
ACS2,37,6.851851851851852,0.9148124818097522,7.489897643609971,5.4,0.6368905947096641,10
ACS1,38,5.757575757575758,0.9187227693949053,6.266934868031895,6.6,1.2390400258285064,10
Discop,38,5.757575757575758,0.9118698103652642,6.3140326526102095,6.6,0.8784425852959175,10
ACS2,38,5.9375,0.9124727806330688,6.507043416550567,6.4,1.147459428184633,10
ACS1,39,6.610169491525424,0.9238823376593401,7.1547741764089965,5.9,0.6635659182712419,10
Discop,39,6.39344262295082,0.8850635428422583,7.22371029137543,6.1,0.6131384635709981,10
ACS2,39,6.5,0.9140461334467712,7.111238439890543,6.0,0.531083690788293,10
ACS1,40,5.882352941176471,0.929893192405546,6.325837192075123,6.8,1.1422948352118976,10
Discop,40,6.153846153846154,0.9054459940878622,6.796480622839887,6.5,0.7169263359134106,10
ACS2,40,6.349206349206349,0.9301005933681533,6.826365228103021,6.3,0.8075138446004912,10
ACS1,41,6.212121212121212,0.8897110338516419,6.982178455434414,6.6,0.9745983489186493,10
Discop,41,6.029411764705882,0.8807761693877427,6.845566415468677,6.8,0.6902709054440105,10
ACS2,41,6.3076923076923075,0.9154697025017553,6.890115850316972,6.5,0.7348494943112456,10
ACS1,42,6.461538461538462,0.9367376703864067,6.897916744261027,6.5,0.890084265673762,10
Discop,42,6.0,0.8835769045398314,6.79058038883985,7.0,0.5868938953886336,10
ACS2,42,6.363636363636363,0.9245307644157773,6.883098549627633,6.6,0.9709102258533827,10
ACS1,43,6.417910447761194,0.9326615614312884,6.881285466415159,6.7,0.7954833340666929,10
Discop,43,5.890410958904109,0.8728783848725726,6.748260766892541,7.3,0.8494808931670467,10
ACS2,43,6.142857142857143,0.933990171299952,6.577004053808568,7.0,1.0611973980817486,10
ACS1,44,6.470588235294118,0.9451946046967497,6.845773561488008,6.8,0.6104872098651364,10
Discop,44,6.285714285714286,0.8857023289336304,7.096869998391188,7.0,0.43563404586863846,10
ACS2,44,6.567164179104478,0.9201225076825894,7.137271530988267,6.7,0.5060480768510597,10
ACS1,45,6.7164179104477615,0.9368030740367908,7.169508829113844,6.7,1.0328778895367436,10
Discop,45,6.0,0.8791943619563427,6.824429568280075,7.5,0.9248552010218373,10
ACS2,45,6.521739130434782,0.955105187656174,6.82829411327889,6.9,0.5540032877674489,10
ACS1,46,6.47887323943662,0.9253010062583505,7.001908779539004,7.1,0.7004625851588057,10
Discop,46,6.216216216216216,0.89481578684967,6.946922827659663,7.4,0.7114755862769606,10
ACS2,46,6.571428571428571,0.9207308728322133,7.13718716872666,7.0,0.6427885520923131,10
ACS1,47,6.266666666666667,0.9098052588600318,6.887920910150242,7.5,0.9966983661644951,10
Discop,47,5.875,0.9003280166234137,6.525399511650848,8.0,0.743387454338203,10
ACS2,47,6.0256410256410255,0.9080610543583678,6.635722341267811,7.8,1.048433425650943,10
ACS1,48,6.4,0.9207209236464974,6.951074788930531,7.5,0.9631664416684486,10
Discop,48,6.075949367088608,0.8812672877189983,6.894559064838443,7.9,0.6723117010967419,10
ACS2,48,6.575342465753424,0.9328795842374098,7.048436450807842,7.3,0.41403933560541234,10
ACS1,49,6.447368421052632,0.9469769825264263,6.808368672121038,7.6,0.77024710774912,10
Discop,49,6.363636363636363,0.9102847142652875,6.990819755522981,7.7,0.6941421564300307,10
ACS2,49,6.282051282051282,0.9197350311901603,6.83028379806535,7.8,0.6263941925810887,10
ACS1,50,6.666666666666667,0.9387828562619374,7.1013937059014065,7.5,0.718243006142779,10
Discop,50,6.329113924050633,0.8928484176908857,7.0886768668070195,7.9,0.46637536799774454,10
ACS2,50,6.4935064935064934,0.935831867138187,6.9387533397039665,7.7,0.5620720426275913,10
ACS1,51,6.375,0.9268315664549542,6.878272418346508,8.0,0.6630357472387156,10
Discop,51,6.071428571428571,0.902810259883632,6.72503275739373,8.4,0.846418131467384,10
ACS2,51,6.538461538461538,0.9146158745412452,7.14886076271212,7.8,0.697818210640881,10
ACS1,52,6.842105263157895,0.9474846739180218,7.221336082265629,7.6,0.9958496218324184,10
Discop,52,6.046511627906977,0.9079369658241676,6.659616091760662,8.6,0.7224698637794424,10
ACS2,52,6.419753086419753,0.937203117567497,6.849905816662422,8.1,0.8328296610729112,10
ACS1,53,7.162162162162162,0.9527866180403718,7.517068382942679,7.4,0.7353595937011871,10
Discop,53,6.54320987654321,0.8947291039558982,7.313062520950172,8.1,0.6738041019094964,10
ACS2,53,6.794871794871795,0.9281071665101965,7.321214661472117,7.8,0.6775284123836264,10
ACS1,54,6.666666666666667,0.9450319222367951,7.054435421490673,8.1,0.6268849127850751,10
Discop,54,6.506024096385542,0.9015152252570826,7.216765634246762,8.3,0.6255446606350178,10
ACS2,54,6.75,0.9426714403146955,7.160501221662791,8.0,0.5741008942117177,10
ACS1,55,6.790123456790123,0.9467505202331202,7.172030341338686,8.1,0.7620679354314915,10
Discop,55,6.962025316455696,0.9272889980685102,7.507934776490604,7.9,0.6548629404703623,10
ACS2,55,6.470588235294118,0.9445849959623287,6.850191632254313,8.5,0.666681626186405,10
ACS1,56,6.436781609195402,0.9584201882191888,6.716032997129775,8.7,0.5868658472204231,10
Discop,56,6.222222222222222,0.8950882580476579,6.951518094756336,9.0,0.3316087072214412,10
ACS2,56,6.588235294117647,0.9414660337354851,6.997847036474904,8.5,0.8098705209050404,10
ACS1,57,6.627906976744186,0.9383662036339131,7.0632413561752125,8.6,0.7228710310617029,10
Discop,57,6.0,0.8981038617359997,6.680741789042344,9.5,0.9686212336637087,10
ACS2,57,6.627906976744186,0.9276299435939066,7.144990329943165,8.6,0.7919381199120812,10
ACS1,58,6.590909090909091,0.9601288500318903,6.864608943570622,8.8,0.955015447913236,10
Discop,58,6.304347826086956,0.8915162942123644,7.071489177499232,9.2,0.5642723563856997,10
ACS2,58,6.105263157894737,0.9455189108011127,6.457050290746604,9.5,0.6446681710418611,10
ACS1,59,6.2105263157894735,0.9387990533292379,6.6153947362486685,9.5,0.5033639411019087,10
Discop,59,5.841584158415841,0.8975993223694795,6.508008654680407,10.1,0.7345577846708995,10
ACS2,59,6.555555555555555,0.943620198707714,6.94723954037162,9.0,0.8837773488560355,10
ACS1,60,6.593406593406593,0.9595075908092854,6.871656521076047,9.1,0.7675920341328443,10
Discop,60,6.315789473684211,0.9141725446408565,6.9087498970617665,9.5,0.7625493305232662,10
ACS2,60,6.451612903225806,0.9434078425243572,6.838625472905411,9.3,0.6085806194501846,10
ACS1,61,6.777777777777778,0.9737694629152103,6.960351536889326,9.0,0.6742462646540227,10
Discop,61,6.354166666666667,0.9137244243426774,6.954139013234521,9.6,0.44734823261617823,10
ACS2,61,6.630434782608695,0.9707122978996433,6.8304839620917015,9.2,0.46610057154905316,10
ACS1,62,6.888888888888889,0.9609989160896725,7.1684668666640565,9.0,0.5185767163107001,10
Discop,62,6.595744680851064,0.9154591725873699,7.204848537602673,9.4,0.5897098563126563,10
ACS2,62,6.888888888888889,0.946005067117135,7.282084555722473,9.0,0.6343453577679989,10
ACS1,63,6.702127659574468,0.9559350302801018,7.011070258206412,9.4,0.5992213056080218,10
Discop,63,6.428571428571429,0.9259467547946395,6.942700965561659,9.8,0.6482398733687712,10
ACS2,63,6.631578947368421,0.9613020052119571,6.898538556471883,9.5,0.36893239368631103,10
ACS1,64,6.336633663366337,0.9523116421929666,6.653949592356603,10.1,0.8278140097721999,10
Discop,64,6.095238095238095,0.9110367192614552,6.690441742215709,10.5,0.8275117039941243,10
ACS2,64,6.530612244897959,0.950250049495248,6.872519762947529,9.8,0.5978001974958008,10
ACS1,65,6.914893617021277,0.9563548600300817,7.230468423409039,9.4,0.37295395185701063,10
Discop,65,6.565656565656566,0.9216275279047773,7.123980531031762,9.9,0.6201852603598669,10
ACS2,65,6.701030927835052,0.9463440207465939,7.080967154574977,9.7,0.6163237497352756,10
ACS1,66,6.0,0.9474899250466388,6.332521160797207,11.0,0.548392828069032,10
Discop,66,6.407766990291262,0.9129072879199325,7.01907748473716,10.3,0.5925567118766973,10
ACS2,66,6.534653465346534,0.943749090482348,6.924142795207026,10.1,0.822149020765505,10
ACS1,67,6.568627450980392,0.9617760429573838,6.829685038506877,10.2,0.41498608122127073,10
Discop,67,6.4423076923076925,0.9063017282425901,7.108347575150246,10.4,0.7302211249842788,10
ACS2,67,6.907216494845361,0.9494004537189841,7.275345685572897,9.7,0.8016376694086915,10
ACS1,68,6.666666666666667,0.9533013584871712,6.993241546667094,10.2,0.5884776397631593,10
Discop,68,6.732673267326732,0.9222166683962596,7.300533050475972,10.1,0.6463807815972066,10
ACS2,68,6.476190476190476,0.9599919785766998,6.746088113977978,10.5,0.7600174344692413,10
ACS1,69,6.8316831683168315,0.9626231349100488,7.096944713421219,10.1,0.6085361059339728,10
Discop,69,6.8316831683168315,0.9095899316090628,7.510728660146444,10.1,0.6558863813265776,10
ACS2,69,6.699029126213592,0.9622796886912458,6.961623740936116,10.3,0.519503527328393,10
ACS1,70,6.306306306306307,0.9589289495995742,6.576406217519733,11.1,0.6166144838122017,10
Discop,70,6.086956521739131,0.8995073128354518,6.766989478441991,11.5,0.7479618027406595,10
ACS2,70,6.481481481481482,0.9504459141265984,6.819411168112145,10.8,0.8882790480215917,10
ACS1,71,6.761904761904762,0.973677502431316,6.944706789486236,10.5,0.4316456327240788,10
Discop,71,6.454545454545454,0.912952847987163,7.0699658462933135,11.0,0.7001711420549908,10
ACS2,71,6.635514018691588,0.9472044568565836,7.005366128356671,10.7,0.4133858900500106,10
ACS1,72,6.545454545454546,0.9704116644902879,6.745028718191025,11.0,0.7005443486808514,10
Discop,72,6.101694915254237,0.8993474519392117,6.784580199896602,11.8,0.6300751301757581,10
ACS2,72,6.605504587155964,0.9722645579075645,6.793937445762539,10.9,0.7624438035503351,10
ACS1,73,6.697247706422019,0.9755449235778328,6.865135110190224,10.9,0.5766895695809983,10
Discop,73,6.697247706422019,0.9439598329589849,7.09484394630276,10.9,0.45394921613267114,10
ACS2,73,7.087378640776699,0.9559425631466741,7.414021421378278,10.3,0.5496196738401836,10
ACS1,74,6.851851851851852,0.9589223740953144,7.145366545770884,10.8,0.769767078025796,10
Discop,74,6.379310344827586,0.9123978659540586,6.991807612523285,11.6,0.5770582508508242,10
ACS2,74,6.434782608695652,0.9711408513876457,6.626003426280654,11.5,0.8998553156062079,10
ACS1,75,6.3559322033898304,0.945001190492223,6.725845710394518,11.8,0.41921604224761544,10
Discop,75,6.097560975609756,0.9011191571991458,6.766653363093695,12.3,0.7448375690099008,10
ACS2,75,6.6371681415929205,0.9604789995492828,6.910268881159814,11.3,0.628740377161276,10
ACS1,76,6.608695652173913,0.9539464886212852,6.927742521202939,11.5,0.8580540745172119,10
Discop,76,6.440677966101695,0.9400830857601066,6.85117950068644,11.8,0.7332650765302349,10
ACS2,76,6.909090909090909,0.9614576601524985,7.186058414673243,11.0,0.7149429968603446,10
ACS1,77,6.637931034482759,0.9561923377569311,6.942045833638707,11.6,0.49604920604191555,10
Discop,77,6.260162601626016,0.9119560399161538,6.864544262683519,12.3,0.7366388454747886,10
ACS2,77,6.695652173913044,0.955996179839494,7.003848252863524,11.5,0.5878948633645052,10
ACS1,78,6.782608695652174,0.9500855310288115,7.138945362432311,11.5,0.5653574245087785,10
Discop,78,6.09375,0.9046053353463941,6.736363098794419,12.8,0.5078002346549516,10
ACS2,78,6.724137931034483,0.9701367884426764,6.93112353962835,11.6,0.5654102097010274,10
ACS1,79,6.528925619834711,0.9657361322319894,6.760568857194142,12.1,0.4048781780095347,10
Discop,79,6.26984126984127,0.9064168228725746,6.917172223228576,12.6,0.5949076768869602,10
ACS2,79,6.752136752136752,0.9695338940595051,6.964312226223563,11.7,0.4609097492156818,10
ACS1,80,6.451612903225806,0.9602215603453024,6.718879443725218,12.4,0.7262551106566093,10
Discop,80,6.4,0.924115908959014,6.925538168917997,12.5,0.441138517481968,10
ACS2,80,6.779661016949152,0.9493585949423862,7.141306828702162,11.8,0.5167142797978653,10
ACS1,81,5.955882352941177,0.9622809017434584,6.189338624668038,13.6,0.6470321472237244,10
Discop,81,6.230769230769231,0.9280102133595812,6.714117087367615,13.0,0.6505046887942953,10
ACS2,81,6.428571428571429,0.9675827052082224,6.643950324833482,12.6,0.6337543581172032,10
ACS1,82,6.666666666666667,0.945642324024635,7.049881860504578,12.3,0.5144427040207944,10
Discop,82,6.56,0.9027240948426231,7.266893658292838,12.5,0.5315840018010589,10
ACS2,82,6.721311475409836,0.9524165340223854,7.057113390318212,12.2,0.3533115747962595,10
ACS1,83,6.693548387096774,0.9458309951016223,7.076896847071081,12.4,0.3941348599905499,10
Discop,83,6.693548387096774,0.9275474305396028,7.2163947273324744,12.4,0.3529774545958616,10
ACS2,83,6.384615384615385,0.9621762655774381,6.635598500014691,13.0,0.913160225076153,10
ACS1,84,6.829268292682927,0.9613742494303671,7.1036521903196395,12.3,0.5269900870456921,10
Discop,84,6.666666666666667,0.9264732492295534,7.195746528257136,12.6,0.40180963282554666,10
ACS2,84,6.5625,0.9636386639583331,6.8101252528030125,12.8,0.662211901021887,10
ACS1,85,6.692913385826771,0.9574243791594221,6.990539964840737,12.7,0.5932101147161969,10
Discop,85,6.343283582089552,0.9075234724426868,6.989663380293617,13.4,0.3961852754806067,10
ACS2,85,6.589147286821706,0.9552153131960344,6.8980754347155715,12.9,0.535869914099698,10
ACS1,86,6.771653543307087,0.9705104499833537,6.977414352852394,12.7,0.46450680387355586,10
Discop,86,6.564885496183206,0.9326918936285942,7.038643244386767,13.1,0.4844188361196154,10
ACS2,86,6.771653543307087,0.9533207433836636,7.103226894310677,12.7,0.4871762740077831,10
ACS1,87,6.590909090909091,0.9572432301463422,6.885302380150007,13.2,0.6025427699219883,10
Discop,87,6.350364963503649,0.9213032976217586,6.892806071460296,13.7,0.5576568975327311,10
ACS2,87,6.641221374045801,0.9561488061668828,6.945803133583232,13.1,0.15116382221684016,10
ACS1,88,6.769230769230769,0.9554133186459618,7.085133352363467,13.0,0.5312545640128895,10
Discop,88,6.470588235294118,0.9342461879801005,6.925999076628763,13.6,0.46240465004383663,10
ACS2,88,6.518518518518518,0.9481503534937834,6.87498400912768,13.5,0.5665175354588868,10
ACS1,89,6.223776223776224,0.962145280806042,6.468644962393023,14.3,0.6735141452749571,10
Discop,89,6.3120567375886525,0.9364000733554215,6.740769161807656,14.1,0.8917168169556702,10
ACS2,89,6.449275362318841,0.9621893203300182,6.702709358805629,13.8,0.471378485897381,10
ACS1,90,6.617647058823529,0.9744368325876424,6.791252996102575,13.6,0.584717678435056,10
Discop,90,6.293706293706293,0.9256135260829862,6.799496891904785,14.3,0.817329739290783,10
ACS2,90,6.382978723404255,0.96313342150853,6.627304775081699,14.1,0.6271226483591658,10
ACS1,91,6.546762589928058,0.9600662977915012,6.819073437936498,13.9,0.6857657700396139,10
Discop,91,6.546762589928058,0.9356373310929815,6.997115626286885,13.9,0.4461012953811508,10
ACS2,91,6.842105263157895,0.9745113082711918,7.021062972882239,13.3,0.4877638570526865,10
ACS1,92,6.666666666666667,0.9579204291668456,6.959520293835911,13.8,0.46945907594589936,10
Discop,92,6.052631578947368,0.9084368161755783,6.662688555961767,15.2,0.6497100329471754,10
ACS2,92,6.865671641791045,0.9710140294119858,7.070620437841326,13.4,0.5070571339806526,10
ACS1,93,6.595744680851064,0.9729426671528284,6.779170966108956,14.1,0.672916729366923,10
Discop,93,6.503496503496503,0.9306036774729238,6.98847066793987,14.3,0.4308665964136977,10
ACS2,93,6.642857142857143,0.9715267488371943,6.8375442578476395,14.0,0.6823572298352057,10
ACS1,94,6.762589928057554,0.9723647956621739,6.954786884743473,13.9,0.5078705945422245,10
Discop,94,6.482758620689655,0.9305833270100466,6.96633867438683,14.5,0.6426487321856044,10
ACS2,94,6.762589928057554,0.9564644336283775,7.07040396933889,13.9,0.42371705744153615,10
ACS1,95,7.037037037037037,0.967723503670146,7.271743437406116,13.5,0.44823145448080615,10
Discop,95,6.333333333333333,0.9207055604609528,6.878782539515173,15.0,0.6965662754232959,10
ACS2,95,6.73758865248227,0.9645248652834904,6.985396535632057,14.1,0.5510653164552329,10
ACS1,96,6.808510638297872,0.9659777572602818,7.048309950332868,14.1,0.7552727228395432,10
Discop,96,6.315789473684211,0.9256597481679809,6.823014056929776,15.2,0.8674741329932958,10
ACS2,96,6.713286713286713,0.9628664428827809,6.97218888757554,14.3,0.44476551887865556,10
ACS1,97,6.298701298701299,0.9740880759179356,6.4662543915915345,15.4,0.7829324268290212,10
Discop,97,6.466666666666667,0.9368415888692125,6.902625527622091,15.0,0.4904655246074939,10
ACS2,97,6.298701298701299,0.976588014857811,6.449701617133173,15.4,0.6231702115688083,10
ACS1,98,6.901408450704225,0.9591699902825003,7.195188048649836,14.2,0.36648931443914085,10
Discop,98,6.666666666666667,0.9265045465444005,7.195503456007254,14.7,0.46982156525945035,10
ACS2,98,6.853146853146853,0.9690324080983075,7.072154445893008,14.3,0.4540314671886276,10
ACS1,99,6.556291390728477,0.9717695269308002,6.746755489890301,15.1,0.386120817509605,10
Discop,99,6.470588235294118,0.932680918576863,6.937622617140389,15.3,0.5347159324144192,10
ACS2,99,6.780821917808219,0.97977290895904,6.92080976704337,14.6,0.4029060060150621,10
ACS1,100,6.329113924050633,0.974706545706721,6.493353257889167,15.8,0.7855294736173151,10
Discop,100,6.211180124223603,0.9183349159650752,6.763523869389517,16.1,0.8072159744000276,10
ACS2,100,6.4935064935064934,0.9668915258791337,6.715858314718764,15.4,0.9739582889666087,10
ACS1,101,6.688741721854305,0.970845894771937,6.889601900645177,15.1,0.6388158513139174,10
Discop,101,6.3125,0.9248689601413254,6.825291227240898,16.0,0.3586282023470678,10
